Lease_ID,Property_ID,Tenant_Name,Suite,SF,Rent_PSF_Monthly,Annual_Rent,Escalation_Rate,Lease_Start,Lease_Expiration,Lease_Type
HRE-1000-P1-L1,HRE-1000-P1,Ingram Inc,100,5027,2.51,151413,0.03,2024-07-24,2028-05-24,NNN
HRE-1000-P1-L2,HRE-1000-P1,"Edwards, Lewis and Lowery",110,5104,2.14,131070,0.02,2024-07-24,2027-08-28,NNN
HRE-1000-P1-L3,HRE-1000-P1,Davis-Mitchell,120,4355,2.06,107655,0.02,2024-07-24,2027-03-31,NNN
HRE-1000-P1-L4,HRE-1000-P1,King-Smith,130,4279,2.79,143260,0.03,2024-07-24,2029-11-15,NNN
HRE-1000-P1-L5,HRE-1000-P1,Anderson-Smith,140,4342,2.72,141722,0.02,2024-07-24,2029-11-15,NNN
HRE-1000-P1-L6,HRE-1000-P1,Aguilar and Sons,150,5693,3.7,252769,0.0,2024-07-24,2030-09-11,NNN
HRE-1000-P1-L7,HRE-1000-P1,"Mcclure, May and Burch",160,4116,2.55,125949,0.0,2024-07-24,2029-10-16,NNN
HRE-1001-P1-L1,HRE-1001-P1,Hurley-Dean,100,6711,3.53,284277,0.025,2024-07-24,2027-01-30,NNN
HRE-1001-P1-L2,HRE-1001-P1,Mason-Prince,110,7908,3.77,357757,0.03,2024-07-24,2028-01-25,NNN
HRE-1001-P1-L3,HRE-1001-P1,"Brown, Perry and Munoz",120,6010,3.39,244486,0.0,2024-07-24,2028-08-22,NNN
HRE-1001-P1-L4,HRE-1001-P1,Smith-Miller,130,7243,3.87,336364,0.03,2024-07-24,2028-09-21,NNN
HRE-1001-P1-L5,HRE-1001-P1,Leon-Roberts,140,7458,2.02,180781,0.03,2024-07-24,2027-09-27,NNN
HRE-1002-P1-L1,HRE-1002-P1,Reid-Mckay,100,10018,3.43,412340,0.0,2024-07-24,2026-12-31,NNN
HRE-1002-P1-L2,HRE-1002-P1,"West, Reed and Smith",110,8570,3.78,388735,0.025,2024-07-24,2027-09-27,NNN
HRE-1002-P1-L3,HRE-1002-P1,Park-Sullivan,120,9343,3.59,402496,0.03,2024-07-24,2030-01-14,NNN
HRE-1002-P1-L4,HRE-1002-P1,"Brown, Wallace and Patrick",130,9373,2.13,239573,0.0,2024-07-24,2030-09-11,NNN
HRE-1002-P1-L5,HRE-1002-P1,Yates-Taylor,140,7886,2.66,251721,0.02,2024-07-24,2029-07-18,NNN
HRE-1002-P1-L6,HRE-1002-P1,Johnson-Campbell,150,6978,3.17,265443,0.02,2024-07-24,2028-09-21,NNN
HRE-1002-P2-L1,HRE-1002-P2,Gomez-Robinson,100,438,3.23,16976,0.02,2024-07-24,2026-12-01,NNN
HRE-1002-P2-L2,HRE-1002-P2,"Fischer, Dixon and Morgan",110,505,2.74,16604,0.02,2024-07-24,2028-03-25,NNN
HRE-1002-P2-L3,HRE-1002-P2,"Mendoza, Hardy and Orr",120,352,3.22,13601,0.03,2024-07-24,2027-04-30,NNN
HRE-1002-P2-L4,HRE-1002-P2,"Mccarthy, Watson and Murphy",130,451,3.45,18671,0.03,2024-07-24,2029-07-18,NNN
HRE-1002-P2-L5,HRE-1002-P2,"Gould, Jones and Smith",140,415,3.62,18027,0.0,2024-07-24,2029-10-16,NNN
HRE-1002-P2-L6,HRE-1002-P2,Crawford-Howard,150,445,3.48,18583,0.025,2024-07-24,2027-10-27,NNN
HRE-1002-P3-L1,HRE-1002-P3,Sullivan-Welch,100,32983,3.91,1547562,0.025,2024-07-24,2030-08-12,NNN
HRE-1002-P3-L2,HRE-1002-P3,Jacobson-Walker,110,34254,2.15,883753,0.02,2024-07-24,2028-05-24,NNN
HRE-1002-P3-L3,HRE-1002-P3,"Alexander, Aguilar and Pope",120,27691,2.15,714427,0.025,2024-07-24,2030-03-15,NNN
HRE-1002-P3-L4,HRE-1002-P3,"Todd, Moore and Warner",130,39119,3.42,1605443,0.0,2024-07-24,2030-08-12,NNN
HRE-1003-P1-L1,HRE-1003-P1,Beacon Capital OpCo,Entire Facility,0,0.0,1420146,0.02,2023-09-15,2034-07-09,Master Lease
HRE-1004-P1-L1,HRE-1004-P1,Solis and Sons,100,8832,3.32,351866,0.02,2024-07-24,2026-12-31,NNN
HRE-1004-P1-L2,HRE-1004-P1,Murray-Simmons,110,8029,2.5,240870,0.03,2024-07-24,2026-09-02,NNN
HRE-1004-P1-L3,HRE-1004-P1,Rodriguez-Peterson,120,7819,3.83,359361,0.02,2024-07-24,2027-09-27,NNN
HRE-1004-P1-L4,HRE-1004-P1,"Carlson, Cochran and Vasquez",130,8813,3.17,335246,0.0,2024-07-24,2028-03-25,NNN
HRE-1004-P1-L5,HRE-1004-P1,Greene-Ferguson,140,7417,2.67,237640,0.02,2024-07-24,2027-04-30,NNN
HRE-1004-P1-L6,HRE-1004-P1,Martinez Inc,150,6159,3.17,234288,0.03,2024-07-24,2029-03-20,NNN
HRE-1005-P1-L1,HRE-1005-P1,Apex Healthcare OpCo,Entire Facility,0,0.0,1930108,0.02,2023-03-08,2033-12-30,Master Lease
HRE-1006-P1-L1,HRE-1006-P1,Stone LLC,100,2148,3.18,81967,0.02,2024-07-24,2028-07-23,NNN
HRE-1006-P1-L2,HRE-1006-P1,Lopez Ltd,110,2487,3.26,97291,0.025,2024-07-24,2030-01-14,NNN
HRE-1006-P1-L3,HRE-1006-P1,Clark-Gonzalez,120,2159,3.64,94305,0.03,2024-07-24,2028-03-25,NNN
HRE-1006-P1-L4,HRE-1006-P1,Ramirez Ltd,130,2867,3.81,131079,0.0,2024-07-24,2029-12-15,NNN
HRE-1006-P1-L5,HRE-1006-P1,"Moore, Davis and Carter",140,2445,3.47,101809,0.02,2024-07-24,2027-04-30,NNN
HRE-1006-P1-L6,HRE-1006-P1,Evans-Wright,150,2733,2.56,83957,0.025,2024-07-24,2030-11-10,NNN
HRE-1006-P1-L7,HRE-1006-P1,Reynolds-Simmons,160,2023,3.99,96861,0.0,2024-07-24,2029-07-18,NNN
HRE-1006-P1-L8,HRE-1006-P1,"Johnson, Patel and Frye",170,2865,3.96,136144,0.0,2024-07-24,2030-01-14,NNN
HRE-1006-P1-L9,HRE-1006-P1,"Martin, Evans and Grimes",180,1972,2.41,57030,0.02,2024-07-24,2030-03-15,NNN
HRE-1006-P2-L1,HRE-1006-P2,Fitzgerald LLC,100,2694,2.71,87608,0.02,2024-07-24,2027-06-29,NNN
HRE-1006-P2-L2,HRE-1006-P2,Martinez-Fry,110,3249,2.77,107996,0.02,2024-07-24,2030-11-10,NNN
HRE-1006-P2-L3,HRE-1006-P2,"Hines, Logan and Wright",120,3275,3.32,130476,0.02,2024-07-24,2028-02-24,NNN
HRE-1006-P2-L4,HRE-1006-P2,Acosta Inc,130,2923,2.29,80324,0.025,2024-07-24,2028-09-21,NNN
HRE-1006-P2-L5,HRE-1006-P2,Johnson LLC,140,2755,3.78,124966,0.02,2024-07-24,2028-10-21,NNN
HRE-1006-P3-L1,HRE-1006-P3,Martinez PLC,100,2724,3.45,112773,0.025,2024-07-24,2028-10-21,NNN
HRE-1006-P3-L2,HRE-1006-P3,Clark PLC,110,2086,3.46,86610,0.03,2024-07-24,2026-09-02,NNN
HRE-1006-P3-L3,HRE-1006-P3,Johnson-Smith,120,2833,3.34,113546,0.0,2024-07-24,2028-05-24,NNN
HRE-1006-P3-L4,HRE-1006-P3,Mathis Inc,130,2292,3.72,102314,0.03,2024-07-24,2028-05-24,NNN
HRE-1006-P3-L5,HRE-1006-P3,"Bailey, Riley and Walters",140,2865,3.67,126174,0.02,2024-07-24,2029-10-16,NNN
HRE-1006-P4-L1,HRE-1006-P4,"Thompson, Clarke and Garcia",100,375,2.56,11520,0.025,2024-07-24,2028-05-24,NNN
HRE-1006-P4-L2,HRE-1006-P4,Gonzalez Inc,110,492,3.54,20900,0.0,2024-07-24,2030-04-14,NNN
HRE-1006-P4-L3,HRE-1006-P4,Sweeney Inc,120,489,3.11,18249,0.03,2024-07-24,2030-04-14,NNN
HRE-1006-P4-L4,HRE-1006-P4,"Barnes, Yang and Arnold",130,505,2.1,12726,0.03,2024-07-24,2027-05-30,NNN
HRE-1006-P4-L5,HRE-1006-P4,"Martin, Johnson and Schultz",140,390,3.13,14648,0.03,2024-07-24,2026-10-02,NNN
HRE-1006-P4-L6,HRE-1006-P4,Ingram and Sons,150,530,2.98,18952,0.03,2024-07-24,2026-12-31,NNN
HRE-1006-P4-L7,HRE-1006-P4,Wilkerson Inc,160,364,2.33,10177,0.0,2024-07-24,2027-11-26,NNN
HRE-1006-P4-L8,HRE-1006-P4,Kennedy-Cook,170,454,2.88,15690,0.0,2024-07-24,2027-10-27,NNN
HRE-1006-P4-L9,HRE-1006-P4,"Young, Anderson and Green",180,381,2.29,10469,0.03,2024-07-24,2029-03-20,NNN
HRE-1006-P4-L10,HRE-1006-P4,Black-Smith,190,522,3.55,22237,0.02,2024-07-24,2028-07-23,NNN
HRE-1006-P5-L1,HRE-1006-P5,"Arroyo, Lawson and Levine",100,737,3.35,29627,0.0,2024-07-24,2026-12-01,NNN
HRE-1006-P5-L2,HRE-1006-P5,Ortiz Inc,110,946,3.02,34283,0.0,2024-07-24,2030-04-14,NNN
HRE-1006-P5-L3,HRE-1006-P5,Pearson LLC,120,818,2.4,23558,0.03,2024-07-24,2027-11-26,NNN
HRE-1006-P5-L4,HRE-1006-P5,Marsh-Price,130,800,3.59,34464,0.025,2024-07-24,2029-11-15,NNN
HRE-1006-P5-L5,HRE-1006-P5,Dean LLC,140,635,2.57,19583,0.03,2024-07-24,2028-08-22,NNN
HRE-1006-P5-L6,HRE-1006-P5,Rubio Group,150,668,3.75,30060,0.0,2024-07-24,2027-03-31,NNN
HRE-1006-P5-L7,HRE-1006-P5,"Pacheco, Arnold and Washington",160,661,2.77,21971,0.0,2024-07-24,2028-06-23,NNN
HRE-1006-P6-L1,HRE-1006-P6,Livingston-Butler,100,2637,2.56,81008,0.02,2024-07-24,2026-06-04,NNN
HRE-1006-P6-L2,HRE-1006-P6,Garza-Dominguez,110,2527,3.52,106740,0.025,2024-07-24,2029-09-16,NNN
HRE-1006-P6-L3,HRE-1006-P6,"Bailey, Martin and Walker",120,2764,2.35,77944,0.02,2024-07-24,2029-10-16,NNN
