Deal_ID,Deal_Name,Sponsor,Structure,Deal_Type,Closing_Date,Aggregate_Loan_Amount,Aggregate_Valuation,LTV,Interest_Rate,Spread_bps,Maturity_Date,Term_Months,LTC,Cap_Rate,Debt_Yield,DSCR,Total_Cost,NOI
HRE-2024-100,Midwest Health Ops Senior Housing Facility,Midwest Health Ops,Single Asset,Construction,2024-09-02,8100000,14500000,0.56,0.0929,435,2027-08-18,36,0.54,0.09,0.1611,1.73,15019679,1305000
HRE-2024-101,Midwest Health Ops Medical Office Portfolio,Midwest Health Ops,Portfolio,Acquisition,2024-10-16,20900000,32700000,0.64,0.0865,375,2034-08-25,120,0.6,0.08,0.1252,1.45,34870940,2616000
HRE-2024-102,Beacon Capital Medical Office Portfolio,Beacon Capital,Portfolio,Acquisition,2025-02-25,35200000,54200000,0.65,0.0815,331,2035-01-04,120,0.66,0.079,0.1216,1.49,53127898,4281800
HRE-2024-103,Beacon Capital Skilled Nursing Facility,Beacon Capital,Single Asset,Refinance,2024-11-24,9100000,12600000,0.72,0.123,737,2031-10-19,84,0.78,0.115,0.1592,1.29,11684438,1449000
HRE-2024-104,Apex Healthcare Skilled Nursing Portfolio,Apex Healthcare,Portfolio,Acquisition,2025-06-11,48000000,63200000,0.76,0.1107,633,2035-04-20,120,0.7,0.1079,0.1421,1.28,68122537,6819280
HRE-2024-105,Beacon Capital Skilled Nursing Facility,Beacon Capital,Single Asset,Acquisition,2024-09-09,10100000,11900000,0.85,0.1246,740,2034-07-19,120,0.93,0.115,0.1355,1.09,10823803,1368500
HRE-2024-106,Midwest Health Ops Skilled Nursing Facility,Midwest Health Ops,Single Asset,Acquisition,2024-01-11,13600000,17400000,0.78,0.1285,764,2030-12-05,84,0.74,0.115,0.1471,1.14,18407228,2001000
HRE-2024-107,Apex Healthcare Skilled Nursing Facility,Apex Healthcare,Single Asset,Refinance,2024-08-21,20900000,28200000,0.74,0.1068,567,2029-07-26,60,0.75,0.1036,0.1398,1.31,27733030,2921520
HRE-2024-108,Silver Care Partners Senior Housing Facility,Silver Care Partners,Single Asset,Refinance,2024-11-09,9300000,15000000,0.62,0.0922,429,2034-09-18,120,0.58,0.0809,0.1305,1.42,16091924,1213500
HRE-2024-109,Apex Healthcare Medical Office Portfolio,Apex Healthcare,Portfolio,Refinance,2025-05-20,37200000,56300000,0.66,0.0801,321,2032-04-13,84,0.65,0.08,0.1211,1.51,56827495,4504000
HRE-2024-110,Beacon Capital Skilled Nursing Facility,Beacon Capital,Single Asset,Acquisition,2024-09-16,20100000,24800000,0.81,0.122,721,2034-07-26,120,0.85,0.1132,0.1397,1.14,23631910,2807360
HRE-2024-111,Silver Care Partners Medical Office Portfolio,Silver Care Partners,Portfolio,Refinance,2024-10-01,27100000,44400000,0.61,0.0809,319,2029-09-05,60,0.59,0.08,0.1311,1.62,45936385,3552000
HRE-2024-112,Beacon Capital Senior Housing Facility,Beacon Capital,Single Asset,Acquisition,2024-03-15,16300000,23900000,0.68,0.0988,466,2029-02-17,60,0.65,0.09,0.132,1.34,25135782,2151000
HRE-2024-113,Silver Care Partners Senior Housing Facility,Silver Care Partners,Single Asset,Acquisition,2025-07-28,9900000,15400000,0.64,0.0929,469,2035-06-06,120,0.69,0.0882,0.1372,1.48,14279315,1358280
HRE-2024-114,Midwest Health Ops Senior Housing Facility,Midwest Health Ops,Single Asset,Acquisition,2025-03-17,39400000,58000000,0.68,0.1003,528,2032-02-09,84,0.71,0.09,0.1325,1.32,55276525,5220000
HRE-2024-115,Midwest Health Ops Life Science Facility,Midwest Health Ops,Single Asset,Refinance,2024-01-17,10100000,18400000,0.55,0.0943,422,2030-12-11,84,0.6,0.085,0.1549,1.64,16696586,1564000
HRE-2024-116,Silver Care Partners Life Science Facility,Silver Care Partners,Single Asset,Refinance,2025-04-29,5900000,12500000,0.47,0.0793,311,2030-04-03,60,0.46,0.0646,0.1369,1.73,12705736,807500
