Property_ID,Deal_ID,Address,City,State,Asset_Type,Appraised_Value,Cap_Rate,Detailed_Type
HRE-2024-100-P1,HRE-2024-100,251 Ricky Burg,Ellisonhaven,AZ,Senior Housing,14500000,0.0919,Senior Housing
HRE-2024-101-P1,HRE-2024-101,608 Brooke Stravenue,Port Brendahaven,GA,Medical Office,3110000,0.0789,Medical Office
HRE-2024-101-P2,HRE-2024-101,445 Paul Lake,Jenniferchester,SC,Medical Office,17420000,0.0791,Medical Office
HRE-2024-101-P3,HRE-2024-101,968 Stewart Keys,West Kevinview,MT,Medical Office,12170000,0.0781,Medical Office
HRE-2024-102-P1,HRE-2024-102,874 Stephanie Garden,Angelabury,FM,Medical Office,9190000,0.0805,Medical Office
HRE-2024-102-P2,HRE-2024-102,810 Amy Path,Brittneyview,ID,Medical Office,7250000,0.0803,Medical Office
HRE-2024-102-P3,HRE-2024-102,936 Lisa Spur,Josephland,NC,Medical Office,19060000,0.0787,Medical Office
HRE-2024-102-P4,HRE-2024-102,475 English Field,Christopherhaven,KS,Medical Office,3820000,0.0775,Medical Office
HRE-2024-102-P5,HRE-2024-102,130 Mccoy Lakes,Gregoryfort,ND,Medical Office,8690000,0.0802,Medical Office
HRE-2024-102-P6,HRE-2024-102,535 William Key,North Maria,NM,Medical Office,4490000,0.0807,Medical Office
HRE-2024-102-P7,HRE-2024-102,291 Jason Plains,Hoodport,OK,Medical Office,1710000,0.0774,Medical Office
HRE-2024-103-P1,HRE-2024-103,479 Williams Lake,Lake Ian,SD,Skilled Nursing,12600000,0.1166,Skilled Nursing
HRE-2024-104-P1,HRE-2024-104,250 Tucker Common,North Kellybury,AR,Skilled Nursing,29780000,0.1098,Skilled Nursing
HRE-2024-104-P2,HRE-2024-104,570 Rivera Harbor,Garciaville,OR,Skilled Nursing,9430000,0.1079,Skilled Nursing
HRE-2024-104-P3,HRE-2024-104,338 Foster Mill,Ewingstad,WI,Skilled Nursing,10930000,0.1069,Skilled Nursing
HRE-2024-104-P4,HRE-2024-104,762 Richardson Squares,Blackburgh,VT,Skilled Nursing,13070000,0.1076,Skilled Nursing
HRE-2024-105-P1,HRE-2024-105,708 Kelly Walk,Craigchester,DE,Skilled Nursing,11900000,0.1139,Skilled Nursing
HRE-2024-106-P1,HRE-2024-106,316 Hahn Way,Christophertown,WA,Skilled Nursing,17400000,0.1165,Skilled Nursing
HRE-2024-107-P1,HRE-2024-107,286 Cherry Street,Lake Douglasborough,OH,Skilled Nursing,28200000,0.1028,Skilled Nursing
HRE-2024-108-P1,HRE-2024-108,250 Caitlin Bridge,Rasmussenview,MS,Senior Housing,15000000,0.0791,Senior Housing
HRE-2024-109-P1,HRE-2024-109,335 Watts Coves,New William,SD,Medical Office,7970000,0.078,Medical Office
HRE-2024-109-P2,HRE-2024-109,804 Kristi Island,North Ricky,MN,Medical Office,8610000,0.0801,Medical Office
HRE-2024-109-P3,HRE-2024-109,403 Crystal Dam,South David,MA,Medical Office,1290000,0.08,Medical Office
HRE-2024-109-P4,HRE-2024-109,594 Cisneros Springs,South Davidchester,NE,Medical Office,17860000,0.0781,Medical Office
HRE-2024-109-P5,HRE-2024-109,68 Shelly View,New Tonyville,CO,Medical Office,1400000,0.0798,Medical Office
HRE-2024-109-P6,HRE-2024-109,877 Silva Mews,Lake Carla,MI,Medical Office,13640000,0.0809,Medical Office
HRE-2024-109-P7,HRE-2024-109,180 Autumn Streets,Aprilhaven,CO,Medical Office,5530000,0.0813,Medical Office
HRE-2024-110-P1,HRE-2024-110,873 Gregory Stravenue,Danielsside,PA,Skilled Nursing,24800000,0.1137,Skilled Nursing
HRE-2024-111-P1,HRE-2024-111,880 Tricia Grove,Lake Justin,VT,Medical Office,6560000,0.0786,Medical Office
HRE-2024-111-P2,HRE-2024-111,48 Ross Plains,West Sandra,ME,Medical Office,5340000,0.0819,Medical Office
HRE-2024-111-P3,HRE-2024-111,695 Bryant Tunnel,Bushbury,NC,Medical Office,14210000,0.0793,Medical Office
HRE-2024-111-P4,HRE-2024-111,593 Fields Drive,East Lauren,DE,Medical Office,980000,0.0814,Medical Office
